iter	RMSE
0	1.510363308
1	1.471759646
2	1.431068977
3	1.391288841
4	1.358841147
5	1.333021083
6	1.294959078
7	1.260678403
8	1.232063838
9	1.205384027
10	1.176158965
11	1.151303456
12	1.130070754
13	1.105252569
14	1.082156183
15	1.061412914
16	1.040436148
17	1.021574549
18	1.004452038
19	0.9865053447
20	0.969083772
21	0.9548604672
22	0.941303412
23	0.9261889292
24	0.9122582088
25	0.8997043661
26	0.8850852107
27	0.8697347011
28	0.8558629443
29	0.8455646233
30	0.8332314637
31	0.8202644603
32	0.81005814
33	0.8012297525
34	0.7888803879
35	0.7789071897
36	0.768751646
37	0.7623242019
38	0.7461639972
39	0.732604053
40	0.725579138
41	0.7151193872
42	0.702144084
43	0.6945257977
44	0.6877769333
45	0.6804741554
46	0.6718561996
47	0.6673095625
48	0.655433418
49	0.6484421792
50	0.6402611374
51	0.6300607303
52	0.6224768938
53	0.6207663813
54	0.6139251799
55	0.6108533635
56	0.6037656379
57	0.5997412409
58	0.5949324504
59	0.591123129
60	0.5903185253
61	0.5895158676
62	0.5854281496
63	0.5821902296
64	0.5799566956
65	0.5756453075
66	0.5722149329
67	0.566411378
68	0.5651808982
69	0.5630871357
70	0.5590206576
71	0.5531653477
72	0.5505243369
73	0.5430772799
74	0.5381493346
75	0.5372111821
76	0.5348680951
77	0.5341682778
78	0.5252712929
79	0.5191400674
80	0.5134701997
81	0.5090794227
82	0.5068367085
83	0.5013853847
84	0.4977002697
85	0.49194115
86	0.488301261
87	0.4868907121
88	0.4833078302
89	0.4817119842
90	0.4792024996
91	0.4752790053
92	0.4708544309
93	0.4698503776
94	0.4615728375
95	0.4592994884
96	0.4556885773
97	0.4506132033
98	0.4489659202
99	0.4477639867
100	0.4468879933
101	0.4468855111
102	0.4439587938
103	0.4429966221
104	0.4406812451
105	0.4365042366
106	0.4358867178
107	0.4334975288
108	0.4313658477
109	0.4269803598
110	0.425071166
111	0.422212012
112	0.4197480449
113	0.4153233417
114	0.4141467263
115	0.4133326616
116	0.4127158397
117	0.4114883268
118	0.4096122361
119	0.4050562055
120	0.4035614373
121	0.4029266684
122	0.4006046862
123	0.3983339947
124	0.3957821183
125	0.3921656142
126	0.388891448
127	0.3831813295
128	0.3801423603
129	0.3794433806
130	0.3780352162
131	0.3748048484
132	0.3722252375
133	0.370139734
134	0.3673093896
135	0.36681626
136	0.365895967
137	0.3650229371
138	0.3643574263
139	0.3627064444
140	0.3610016147
141	0.3605211778
142	0.3596146042
143	0.3582210969
144	0.357171607
145	0.3560649258
146	0.3539780743
147	0.3531265702
148	0.3507761344
149	0.349277341
150	0.3486886656
151	0.3470351592
152	0.3454615855
153	0.3446174032
154	0.3410228528
155	0.3388669846
156	0.3369053874
157	0.3354727517
158	0.333676616
159	0.3311293136
160	0.3305429707
161	0.329330582
162	0.3280161419
163	0.3258000098
164	0.3246805959
165	0.3242329493
166	0.3241316945
167	0.3221744589
168	0.3206751154
169	0.3205751321
170	0.3186924769
171	0.3172156435
172	0.3157541774
173	0.314060411
174	0.3131276528
175	0.3117804402
176	0.3116793901
177	0.3099797113
178	0.3098857669
179	0.3086183851
180	0.3058423929
181	0.3044892382
182	0.3032974066
183	0.3027645246
184	0.3009087001
185	0.3008234401
186	0.2998960304
187	0.2992259268
188	0.2982487272
189	0.2967620937
190	0.2962330146
191	0.2957420523
192	0.2948890972
193	0.2944025275
194	0.2933530719
195	0.2925214985
196	0.2912049618
197	0.2903535991
198	0.2893422605
199	0.2885888054
200	0.2869917114
201	0.2861477342
202	0.2855666336
203	0.2842820691
204	0.2826119263
205	0.2811563352
206	0.2796059373
207	0.2782241441
208	0.277456479
209	0.276282417
210	0.2755648464
211	0.274254353
212	0.2735776123
213	0.2729416016
214	0.2718035969
215	0.27170268
216	0.2704074911
217	0.2695372888
218	0.2680654914
219	0.2680311092
220	0.2667621209
221	0.2661994359
222	0.2645864032
223	0.2635499272
224	0.2635333605
225	0.262564383
226	0.2613271168
227	0.2608974076
228	0.2600944503
229	0.2594044523
230	0.2590089459
231	0.2580629563
232	0.2576355451
233	0.2569728919
234	0.256953475
235	0.2562160545
236	0.2549570135
237	0.2548498375
238	0.254157831
239	0.253079753
240	0.2530205964
241	0.2523690366
242	0.2517485036
243	0.2505605183
244	0.2494986716
245	0.2488406159
246	0.2479075407
247	0.2474853262
248	0.2472202337
249	0.2459198856
250	0.244902031
251	0.244086358
252	0.2431533231
253	0.2431130282
254	0.2423924105
255	0.2418703096
256	0.2412827961
257	0.2410133619
258	0.2387654929
259	0.238057549
260	0.237029791
261	0.2366946456
262	0.2362408624
263	0.2360274552
264	0.2351534621
265	0.2341119933
266	0.232872824
267	0.2310250181
268	0.2303120408
269	0.229750334
270	0.228613438
271	0.2275965329
272	0.2273287134
273	0.2268774929
274	0.2268726686
275	0.2248657223
276	0.2240932676
277	0.2229200646
278	0.2213969653
279	0.2209381715
280	0.2195586305
281	0.2184849715
282	0.2182308766
283	0.2172024844
284	0.2167876715
285	0.2164014201
286	0.2154172413
287	0.214977546
288	0.2140278053
289	0.2125345326
290	0.2118863482
291	0.2112829754
292	0.2103894339
293	0.2091211792
294	0.2083544824
295	0.2074972067
296	0.2064923701
297	0.2059995324
298	0.2051769483
299	0.2044743565
300	0.2032880143
301	0.2024281927
302	0.2012511181
303	0.200700266
304	0.2005869858
305	0.1998242591
306	0.1995034548
307	0.1984238376
308	0.1980845189
309	0.1974692969
310	0.1970609998
311	0.1967488785
312	0.1960729447
313	0.1958702544
314	0.1950998248
315	0.1945447386
316	0.1932491346
317	0.1923632309
318	0.1922696024
319	0.1915859362
320	0.1908792493
321	0.1900549111
322	0.1899542657
323	0.1893707938
324	0.1889808058
325	0.1884644998
326	0.1875884599
327	0.1865142454
328	0.185048534
329	0.1846773984
330	0.1846243337
331	0.1831600282
332	0.1826379968
333	0.1822855952
334	0.1818175407
335	0.180936375
336	0.179480313
337	0.1789999634
338	0.1784772734
339	0.1781991598
340	0.1776608813
341	0.1766330766
342	0.176138215
343	0.1753914099
344	0.1748508067
345	0.1736424454
346	0.1720250145
347	0.1707304251
348	0.169984482
349	0.1698359422
350	0.1694475513
351	0.1693595702
352	0.1690786516
353	0.1687216341
354	0.1682271953
355	0.167849964
356	0.1675418575
357	0.1665482123
358	0.1648763139
359	0.1637077678
360	0.1633940224
361	0.1630317087
362	0.1621805683
363	0.1613322208
364	0.1608937081
365	0.1599443677
366	0.1590272537
367	0.1582450552
368	0.15761559
369	0.1574896705
370	0.1567572844
371	0.1562452291
372	0.1557949384
373	0.1556670673
374	0.1548784282
375	0.1540187473
376	0.153635012
377	0.1535847839
378	0.1533902096
379	0.1532451951
380	0.1529758598
381	0.1526739421
382	0.1523755188
383	0.1519918603
384	0.1518230928
385	0.1517128578
386	0.1515579255
387	0.1514800644
388	0.1507711646
389	0.15060207
390	0.1497944183
391	0.1495829213
392	0.1488325363
393	0.1479063772
394	0.1477337525
395	0.147011428
396	0.146741359
397	0.1461208365
398	0.1456877677
399	0.1448034602
400	0.1446605602
401	0.1443919103
402	0.1440033328
403	0.1436500437
